district,13943,13942,13941,13934,13933,13932,13931,13924,13923,13922,13921,13914,13913,13912,13911,13904,13903,13902,13901
0,40139,40318,40488,41326,40047,37821,39206,36587,37714,37511,39114,36320,30188,25761,23840,20926,19737,18793,17653
1,84189,83931,84781,86470,83311,77954,81733,76781,79888,79218,83029,78614,60725,49490,45052,39137,36708,34714,31446
2,60276,59952,59774,62101,60213,56573,57534,53578,54818,54184,56522,53918,44021,37699,35219,30480,28704,27727,25391
3,73723,73593,73589,77097,74507,69594,71312,65424,67285,67000,70294,64176,53323,44742,41247,37221,34618,32992,30840
4,43536,43591,43651,45049,43440,41060,42428,39784,40848,40225,42290,38885,32782,28174,26053,22520,21549,20711,19085
5,47324,47296,47566,48691,47266,44802,46046,42878,44269,43918,45633,41524,34236,29468,27543,23635,22051,20960,20023
6,53855,54493,55164,55144,53434,51067,53171,50480,51836,51218,53547,49371,40666,34696,32456,27977,26032,24178,23104
7,42796,42707,43095,44388,42829,40489,41863,39439,40151,40048,41696,38172,31503,27525,25539,21996,20481,19563,18441
8,41168,41606,41884,41794,40850,38723,40483,37653,39248,39052,40303,37138,30853,26560,24285,21256,20113,18798,18222
9,26968,27203,27528,27786,26869,25288,26645,24482,25072,25254,26224,24378,20325,17274,16199,14426,13574,12917,12526
10,28043,28419,28588,28972,28282,26905,27821,26147,26681,26592,27554,25487,20996,18640,16904,15046,14168,13740,13087
11,28864,29162,29390,29698,28695,27178,28357,26295,27202,27515,28481,26132,22296,19213,17921,15946,15192,14485,13861
12,25566,25913,26208,26189,25476,24034,25247,23530,24634,24691,25777,24529,21246,17874,16484,14802,13989,13657,13145
13,36428,36719,36894,37029,36180,34322,35656,32953,34206,34599,35778,33009,28712,24194,22347,20301,19230,17974,16981
14,31233,31608,31815,32135,31150,29460,31200,28725,29412,29642,30905,28385,24243,20834,19531,17053,15935,14898,14327
15,23813,24190,24193,24332,23660,22501,23287,21817,22463,22188,22865,21259,18222,15811,14639,13106,12499,11931,11765
16,23240,23683,23586,23629,23063,21988,23059,21475,22203,22220,22978,21565,18724,16220,15109,13847,12980,12420,11219
17,20521,20963,21118,21266,20647,19679,20537,19090,19369,19194,19936,18559,16638,14461,13586,12464,12083,11509,11266
18,19991,20355,20314,20587,19951,18882,19642,18404,18959,19049,19866,18529,16128,13884,12766,11514,11102,10467,10124
19,22279,22830,22903,23123,22495,21371,22334,20767,21582,21549,22587,21534,19072,16516,15258,13815,13099,12319,11580
20,20938,21154,21179,21439,20906,19751,20742,19618,20498,20302,21075,19327,16637,14131,12993,11909,11690,11282,10105
21,28054,28490,28595,28784,27984,26518,27920,26136,27024,27279,28479,26752,22859,19313,17938,15496,14372,13824,13499
22,37539,38178,38327,38754,37382,35474,37176,35199,36872,37662,40064,38331,31236,26541,23681,20584,19596,18523,16616
